account_id,xrealip,daily_ip_usage,year,month,day
#NAME?,13.52.234.238,1,2022,6,14
#NAME?,2001:559:a4:225::195,1,2022,6,1
#NAME?,2001:559:a4:225::195,8,2022,6,2
#NAME?,2001:559:a4:225::195,1,2022,6,6
#NAME?,2001:559:a4:225::195,8,2022,6,8
#NAME?,2001:559:a4:225::195,5,2022,6,9
#NAME?,2001:559:a4:23b:992c:5b5f:ea6e:e4af,17,2022,6,1
#NAME?,2001:559:a4:23b:992c:5b5f:ea6e:e4af,5,2022,6,9
#NAME?,3.228.197.246,6,2022,6,1
#NAME?,3.228.197.246,1,2022,6,7
#NAME?,3.228.197.246,6,2022,6,8
#NAME?,34.215.195.251,2,2022,6,1
#NAME?,34.215.195.251,1,2022,6,2
#NAME?,34.215.195.251,10,2022,6,6
#NAME?,34.215.195.251,14,2022,6,7
#NAME?,34.215.195.251,2,2022,6,14
#NAME?,34.238.143.76,166,2022,6,1
#NAME?,34.238.143.76,117,2022,6,2
#NAME?,34.238.143.76,75,2022,6,6
#NAME?,34.238.143.76,51,2022,6,7
#NAME?,34.238.143.76,78,2022,6,8
#NAME?,34.238.143.76,118,2022,6,9
#NAME?,34.238.143.76,43,2022,6,10
#NAME?,34.238.143.76,5,2022,6,11
#NAME?,34.238.143.76,7,2022,6,12
#NAME?,34.238.143.76,15,2022,6,13
#NAME?,34.238.143.76,60,2022,6,14
#NAME?,36.33.24.184,3,2022,6,6
#NAME?,38.99.100.2,1107,2022,6,1
#NAME?,38.99.100.2,911,2022,6,2
#NAME?,38.99.100.2,1,2022,6,3
#NAME?,38.99.100.2,1,2022,6,4
#NAME?,38.99.100.2,3,2022,6,5
#NAME?,38.99.100.2,482,2022,6,6
#NAME?,38.99.100.2,556,2022,6,7
#NAME?,38.99.100.2,807,2022,6,8
#NAME?,38.99.100.2,1098,2022,6,9
#NAME?,38.99.100.2,437,2022,6,10
#NAME?,38.99.100.2,33,2022,6,11
#NAME?,38.99.100.2,38,2022,6,12
