ip_filtered,ip_excluded
38.99.100.2,2001:559:a4:23b:992c:5b5f:ea6e:e4af
34.238.143.76,3.232.225.49
18.205.35.125,3.233.120.23
34.215.195.251,2001:559:a4:234:7453:fcd4:7e52:ef7f
18.215.88.65,13.228.40.163
13.52.234.238,2001:559:a4:227:24fe:7915:6bd7:5e9e
2001:559:a4:225::195,
38.99.114.227,
52.76.192.139,
38.99.100.7,
52.220.255.171,
52.74.225.218,
52.76.116.153,
54.179.122.232,
3.228.197.246,
2001:559:a4:228:2863:1922:ff67:8bf0,
2001:559:a4:23b:90f9:a027:dc43:e45b,
2001:559:a4:227:9d86:c4da:d756:714,
2001:559:a4:238:3dc9:bbf2:d723:3683,
2001:559:a4:228:e083:9c7a:6cb2:fc3d,
2001:559:a4:236:6592:69f2:e143:a38c,
2001:559:a4:236:fcd5:200:4d4:6bf2,
2001:559:a4:228:44fc:4964:6298:ee2,
2001:559:a4:227:cd6f:b784:1173:1a64,
2001:559:a4:236:cdb2:72c4:6c84:32a5,
13.110.78.8,
2001:559:a4:228:396a:6f59:941f:5e4d,
2001:559:a4:236:9c7a:2700:2eab:cdcb,
2001:559:a4:23b:d8a7:c5ae:9bec:ae77,
2001:559:a4:23b:b0e4:c28f:2118:c87,
2001:559:a4:23b:d0ce:a2b:e30e:7bcf,
2001:559:a4:23b:cbf:167e:7f45:5172,
2001:559:a4:23b:e156:9968:a028:da14,
18.138.183.50,
2001:559:a4:228:fdab:b72:d0c3:26bc,
2001:559:a4:227:c0e:95dc:932a:ef8c,
2001:559:a4:236:71ea:c5d6:cda4:f6fe,
36.33.24.184,
2001:559:a4:236:ed57:66a7:9628:12a4,
2001:559:a4:225::89,
2001:559:a4:21e:7dd4:9358:a0a7:4ac,
2001:559:a4:227:b849:2335:1460:5ca8,
2001:559:a4:228:65df:8970:94dd:7b2b,
2001:559:a4:227:942d:1c0:a430:2e5a,
52.73.66.5,
3.211.133.56,
2001:559:a4:236:2444:21fb:4e91:f792,
3.208.254.246,
54.147.230.103,
54.255.206.65,
2001:559:a4:228:914a:4365:66c8:6d27,
3.211.70.114,
2001:559:a4:236:906e:1fee:d5c3:9e95,
